"행정구역별","각세별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년",
"전국","41세","시도간전출","","27717","30841","32451","32529","37016","36852","33100","34098","33818","36463","41625","40953","39743","42592","42602","44107","42102","40353","41097","41876","37083","40505","42911","43925","44159",
"전국","42세","총전입","","94748","102633","98818","96614","105461","112844","102255","106646","110794","122671","132428","133255","133608","130880","144980","139935","137463","141487","145065","138878","142627","139247","169845","151366","145163",
"전국","42세","총전출","","94748","102633","98818","96614","105461","112844","102255","106646","110794","122671","132428","133255","133608","130880","144980","139935","137463","141487","145065","138878","142627","139247","169845","151366","145163",
"전국","42세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","42세","시군구내","","35601","40122","37745","36780","41677","45279","41162","43675","44725","50679","55179","55561","56230","53785","62000","58610","57123","59339","60926","58555","59717","57157","71648","64294","60273",
"전국","42세","시군구간전입","","29624","31452","30633","29132","31246","33668","29981","30702","32073","35250","37322","37999","38397","38488","42155","42098","42088","43325","44860","42884","43968","43666","53081","47537","45961",
"전국","42세","시군구간전출","","29624","31452","30633","29132","31246","33668","29981","30702","32073","35250","37322","37999","38397","38488","42155","42098","42088","43325","44860","42884","43968","43666","53081","47537","45961",
"전국","42세","시도간전입","","29523","31059","30440","30702","32538","33897","31112","32269","33996","36742","39927","39695","38981","38607","40825","39227","38252","38823","39279","37439","38942","38424","45116","39535","38929",
"전국","42세","시도간전출","","29523","31059","30440","30702","32538","33897","31112","32269","33996","36742","39927","39695","38981","38607","40825","39227","38252","38823","39279","37439","38942","38424","45116","39535","38929",
"전국","43세","총전입","","95705","98240","94664","84537","98800","108069","99809","109473","115833","121386","131395","132814","125694","130399","132271","129137","134013","138440","131385","147597","137631","148105","156025","137772","133290",
"전국","43세","총전출","","95705","98240","94664","84537","98800","108069","99809","109473","115833","121386","131395","132814","125694","130399","132271","129137","134013","138440","131385","147597","137631","148105","156025","137772","133290",
"전국","43세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","43세","시군구내","","36310","39134","36830","33114","39526","44145","40927","45311","47868","50915","55145","56089","53469","54755","57114","54705","55840","57940","55125","63074","57867","60908","65522","58406","55169",
"전국","43세","시군구간전입","","29445","29772","28589","25145","29176","32111","29331","31507","32985","34316","37063","37419","35956","37736","38879","38414","41024","42802","40419","45232","42783","46547","49143","43281","42482",
"전국","43세","시군구간전출","","29445","29772","28589","25145","29176","32111","29331","31507","32985","34316","37063","37419","35956","37736","38879","38414","41024","42802","40419","45232","42783","46547","49143","43281","42482",
"전국","43세","시도간전입","","29950","29334","29245","26278","30098","31813","29551","32655","34980","36155","39187","39306","36269","37908","36278","36018","37149","37698","35841","39291","36981","40650","41360","36085","35639",
"전국","43세","시도간전출","","29950","29334","29245","26278","30098","31813","29551","32655","34980","36155","39187","39306","36269","37908","36278","36018","37149","37698","35841","39291","36981","40650","41360","36085","35639",
